"Segment Name","Size (MB)","Segment Type","Number of Rows"
"IDL_UB1$","55.0","TABLE","14,635"
"SOURCE$","45.0","TABLE","231,944"
"IDL_UB2$","22.0","TABLE","8,891"
"C_TOID_VERSION#","13.0","CLUSTER","-"
"ARGUMENT$","9.0","TABLE","100,961"
"C_OBJ#","9.0","CLUSTER","-"
"SYS_LOB0000001051C00003$$","9.0","LOBSEGMENT","-"
"IDL_CHAR$","8.0","TABLE","4,218"
"I_ARGUMENT1","7.0","INDEX","-"
"VIEW$","6.0","TABLE","4,088"
"C_OBJ#_INTCOL#","6.0","CLUSTER","-"
"I_SOURCE1","5.0","INDEX","-"
"I_ARGUMENT2","5.0","INDEX","-"
"I_COL1","4.0","INDEX","-"
"IDL_SB4$","3.0","TABLE","12,257"
"KOTAD$","3.0","TABLE","-"
"SYS_LOB0000020096C00005$$","3.0","LOBSEGMENT","-"
"DEPENDENCY$","3.0","TABLE","45,825"
"I_ACCESS1","2.0","INDEX","-"
"I_OBJ5","2.0","INDEX","-"
"ACCESS$","2.0","TABLE","34,675"
"I_PROCEDUREINFO1","2.0","INDEX","-"
"OBJ$","2.0","TABLE","21,301"
"SETTINGS$","2.0","TABLE","36,784"
"HIST_HEAD$","2.0","TABLE","29,517"
"I_OBJ2","2.0","INDEX","-"
"I_COL3","2.0","INDEX","-"
"I_DEPENDENCY1","2.0","INDEX","-"
"I_DEPENDENCY2","2.0","INDEX","-"
"I_H_OBJ#_COL#","2.0","INDEX","-"
"C_FILE#_BLOCK#","2.0","CLUSTER","-"
"I_COL2","2.0","INDEX","-"
"NATIVE_COMP_SHARED_OBJECTS","1.0","LOBSEGMENT","-"
"COM$","1.0","TABLE","15,387"
"SYS_LOB0000020096C00003$$","1.0","LOBSEGMENT","-"
"C_COBJ#","1.0","CLUSTER","-"
"I_HH_OBJ#_COL#","0.9","INDEX","-"
"SYS_LOB0000000520C00002$$","0.9","LOBSEGMENT","-"
"I_HH_OBJ#_INTCOL#","0.9","INDEX","-"
"I_OBJ4","0.8","INDEX","-"
"I_SETTINGS1","0.8","INDEX","-"
"PROCEDUREINFO$","0.8","TABLE","18,166"
"SYS_LOB0000020096C00004$$","0.8","LOBSEGMENT","-"
"METASCRIPTFILTER$","0.7","TABLE","6,367"
"KOTTD$","0.7","TABLE","-"
"KOTTB$","0.6","TABLE","-"
"I_OBJ1","0.6","INDEX","-"
"TRIGGER$","0.6","TABLE","511"
"I_IDL_UB11","0.5","INDEX","-"
"SYS_C00642","0.5","INDEX","-"
"I_COM1","0.5","INDEX","-"
"I_METASCRIPTFILTER1$","0.4","INDEX","-"
"I_METASCRIPTFILTER2$","0.4","INDEX","-"
"SYS_LOB0000020079C00005$$","0.4","LOBSEGMENT","-"
"I_CON1","0.4","INDEX","-"
"KOTMD$","0.4","TABLE","-"
"I_ATTRIBUTE1","0.4","INDEX","-"
"I_PARAMETER1","0.4","INDEX","-"
"I_PARAMETER2","0.4","INDEX","-"
"I_FILE#_BLOCK#","0.4","INDEX","-"
"SYSTEM","0.4","ROLLBACK","-"
"I_ATTRIBUTE2","0.4","INDEX","-"
"I_IDL_SB41","0.4","INDEX","-"
"PARAMIND","0.4","INDEX","-"
"I_METAFILTER$","0.3","INDEX","-"
"METANAMETRANS$","0.3","TABLE","2,742"
"METAFILTER$","0.3","TABLE","3,588"
"I_IDL_UB21","0.3","INDEX","-"
"I_OBJAUTH1","0.3","INDEX","-"
"CON$","0.3","TABLE","8,294"
"PR_ATTRIBUTE","0.3","TABLE","2,315"
"MON_MODS_ALL$","0.3","TABLE","107"
"PROCEDUREPLSQL$","0.3","TABLE","11,420"
"I_METANAMETRANS1$","0.3","INDEX","-"
"I_METANAMETRANS2$","0.3","INDEX","-"
"I_PROCEDUREPLSQL$","0.3","INDEX","-"
"I_OBJAUTH2","0.3","INDEX","-"
"PISR_NN_ATTRIBUTE_NAME","0.3","INDEX","-"
"I_SYN2","0.3","INDEX","-"
"I_CDEF4","0.3","INDEX","-"
"KOTTBX$","0.3","TABLE","-"
"MON_MODS$","0.3","TABLE","0"
"COL_USAGE$","0.3","TABLE","2,200"
"PK_COL_GROUP_USAGE$","0.3","INDEX","-"
"I_TRIGGERCOL1","0.2","INDEX","-"
"I_IDL_CHAR1","0.2","INDEX","-"
"OPB_MMD_CNX_ATTR","0.2","TABLE","940"
"PO_IDTOQUALNAMES","0.2","TABLE","1,798"
"I_WARNING_SETTINGS","0.2","INDEX","-"
"PISR_NN_ATTRIBUTE_VALUE","0.2","INDEX","-"
"PIA_ATTRIBUTE_VALUEPARENT","0.2","INDEX","-"
"SYN$","0.2","TABLE","4,054"
"I_CON2","0.2","INDEX","-"
"I_OBJ#","0.2","INDEX","-"
"I_CCOL1","0.2","INDEX","-"
"I_CCOL2","0.2","INDEX","-"
"I_CDEF1","0.2","INDEX","-"
"I_CDEF2","0.2","INDEX","-"
"OBJAUTH$","0.2","TABLE","6,633"
"I_METHOD1","0.2","INDEX","-"
"PROCEDURE$","0.2","TABLE","2,726"
"I_TRIGGERCOL2","0.2","INDEX","-"
"METAPATHMAP$","0.1","TABLE","678"
"I_COL_USAGE$","0.1","INDEX","-"
"AQ$_SCHEDULES","0.1","TABLE","0"
"METAXSLPARAM$","0.1","TABLE","1,020"
"I_METAPATHMAP$","0.1","INDEX","-"
"I_METASCRIPT1$","0.1","INDEX","-"
"METASTYLESHEET","0.1","TABLE","179"
"I_METAXSLPARAM$","0.1","INDEX","-"
"I_TOID_VERSION#","0.1","INDEX","-"
"OPB_MMDDTYP_IDX2","0.1","INDEX","-"
"OPB_MMD_DATATYPE","0.1","TABLE","2,387"
"OPB_MMD_EXTN_ATTR","0.1","TABLE","634"
"PO_PROPIDTOCOLUMN","0.1","TABLE","1,083"
"WARNING_SETTINGS$","0.1","TABLE","4,618"
"AQ$_SCHEDULES_PRIMARY","0.1","INDEX","-"
"PISR_NN_ATTR_RS_PARENT","0.1","INDEX","-"
"PIA_NN_ATTRIBUTE_RESOURCE","0.1","INDEX","-"
"OID$","0.1","TABLE","2,031"
"I_IND1","0.1","INDEX","-"
"I_OBJ3","0.1","INDEX","-"
